"統計名：","通信利用動向調査 世帯全体編"
"表番号："
"表題：","Ｆ：世帯年収 世帯年収 平成18年以降"
"実施年月：","-","-"

"***","数字が得られないもの"
"******","******"
"**********","**********"
"-","該当数がない場合"

"","","","","","","/世帯年収_2 コード","100","120","130","140","150","160","170","190","200","210"
"表章項目 コード","表章項目","時間軸(年次) コード","時間軸(年次)","世帯年収_1 コード","世帯年収_1","/世帯年収_2","合計","200～400万円未満","200万円未満","400～600万円未満","600～800万円未満","800～1000万円未満","1000～1500万円未満","1500～2000万円未満","2000万円以上","不明"
"00200","回答数","2016000000","2016年","100","合計","","***","5,074","2,319","3,473","2,377","1,581","1,214","296","171","535"
"00200","回答数","2016000000","2016年","120","200万円未満","","***","-","2,319","-","-","-","-","-","-","-"
"00200","回答数","2016000000","2016年","130","200～400万円未満","","***","5,074","-","-","-","-","-","-","-","-"
"00200","回答数","2016000000","2016年","140","400～600万円未満","","***","-","-","3,473","-","-","-","-","-","-"
"00200","回答数","2016000000","2016年","150","600～800万円未満","","***","-","-","-","2,377","-","-","-","-","-"
"00200","回答数","2016000000","2016年","160","800～1,000万円未満","","***","-","-","-","-","1,581","-","-","-","-"
"00200","回答数","2016000000","2016年","170","1,000～1,500万円未満","","***","-","-","-","-","-","1,214","-","-","-"
"00200","回答数","2016000000","2016年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","296","-","-"
"00200","回答数","2016000000","2016年","200","2,000万円以上","","***","-","-","-","-","-","-","-","171","-"
"00200","回答数","2015000000","2015年","100","合計","","***","4,136","1,760","3,360","2,424","1,289","1,014","240","105","***"
"00200","回答数","2015000000","2015年","120","200万円未満","","***","-","1,760","-","-","-","-","-","-","***"
"00200","回答数","2015000000","2015年","130","200～400万円未満","","***","4,136","-","-","-","-","-","-","-","***"
"00200","回答数","2015000000","2015年","140","400～600万円未満","","***","-","-","3,360","-","-","-","-","-","***"
"00200","回答数","2015000000","2015年","150","600～800万円未満","","***","-","-","-","2,424","-","-","-","-","***"
"00200","回答数","2015000000","2015年","160","800～1,000万円未満","","***","-","-","-","-","1,289","-","-","-","***"
"00200","回答数","2015000000","2015年","170","1,000～1,500万円未満","","***","-","-","-","-","-","1,014","-","-","***"
"00200","回答数","2015000000","2015年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","240","-","***"
"00200","回答数","2015000000","2015年","200","2,000万円以上","","***","-","-","-","-","-","-","-","105","***"
"00200","回答数","2014000000","2014年","100","合計","","***","4,771","2,253","3,525","2,518","1,418","1,008","214","161","660"
"00200","回答数","2014000000","2014年","120","200万円未満","","***","-","2,253","-","-","-","-","-","-","-"
"00200","回答数","2014000000","2014年","130","200～400万円未満","","***","4,771","-","-","-","-","-","-","-","-"
"00200","回答数","2014000000","2014年","140","400～600万円未満","","***","-","-","3,525","-","-","-","-","-","-"
"00200","回答数","2014000000","2014年","150","600～800万円未満","","***","-","-","-","2,518","-","-","-","-","-"
"00200","回答数","2014000000","2014年","160","800～1,000万円未満","","***","-","-","-","-","1,418","-","-","-","-"
"00200","回答数","2014000000","2014年","170","1,000～1,500万円未満","","***","-","-","-","-","-","1,008","-","-","-"
"00200","回答数","2014000000","2014年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","214","-","-"
"00200","回答数","2014000000","2014年","200","2,000万円以上","","***","-","-","-","-","-","-","-","161","-"
"00200","回答数","2014000000","2014年","210","不明","","***","-","-","-","-","-","-","-","-","660"
"00200","回答数","2013000000","2013年","100","合計","","***","4,144","1,707","3,430","2,551","1,502","989","281","127","867"
"00200","回答数","2013000000","2013年","120","200万円未満","","***","-","1,707","-","-","-","-","-","-","-"
"00200","回答数","2013000000","2013年","130","200～400万円未満","","***","4,144","-","-","-","-","-","-","-","-"
"00200","回答数","2013000000","2013年","140","400～600万円未満","","***","-","-","3,430","-","-","-","-","-","-"
"00200","回答数","2013000000","2013年","150","600～800万円未満","","***","-","-","-","2,551","-","-","-","-","-"
"00200","回答数","2013000000","2013年","160","800～1,000万円未満","","***","-","-","-","-","1,502","-","-","-","-"
"00200","回答数","2013000000","2013年","170","1,000～1,500万円未満","","***","-","-","-","-","-","989","-","-","-"
"00200","回答数","2013000000","2013年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","281","-","-"
"00200","回答数","2013000000","2013年","200","2,000万円以上","","***","-","-","-","-","-","-","-","127","-"
"00200","回答数","2013000000","2013年","210","不明","","***","-","-","-","-","-","-","-","-","867"
"00200","回答数","2012000000","2012年","100","合計","","***","5,973","2,736","4,536","2,989","1,616","1,192","317","173","885"
"00200","回答数","2012000000","2012年","120","200万円未満","","***","-","2,736","-","-","-","-","-","-","-"
"00200","回答数","2012000000","2012年","130","200～400万円未満","","***","5,973","-","-","-","-","-","-","-","-"
"00200","回答数","2012000000","2012年","140","400～600万円未満","","***","-","-","4,536","-","-","-","-","-","-"
"00200","回答数","2012000000","2012年","150","600～800万円未満","","***","-","-","-","2,989","-","-","-","-","-"
"00200","回答数","2012000000","2012年","160","800～1,000万円未満","","***","-","-","-","-","1,616","-","-","-","-"
"00200","回答数","2012000000","2012年","170","1,000～1,500万円未満","","***","-","-","-","-","-","1,192","-","-","-"
"00200","回答数","2012000000","2012年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","317","-","-"
"00200","回答数","2012000000","2012年","200","2,000万円以上","","***","-","-","-","-","-","-","-","173","-"
"00200","回答数","2012000000","2012年","210","不明","","***","-","-","-","-","-","-","-","-","885"
"00200","回答数","2010000000","2010年","100","合計","","***","5,879","2,476","4,893","3,696","2,096","1,492","385","269","1,086"
"00200","回答数","2010000000","2010年","120","200万円未満","","***","-","2,476","-","-","-","-","-","-","-"
"00200","回答数","2010000000","2010年","130","200～400万円未満","","***","5,879","-","-","-","-","-","-","-","-"
"00200","回答数","2010000000","2010年","140","400～600万円未満","","***","-","-","4,893","-","-","-","-","-","-"
"00200","回答数","2010000000","2010年","150","600～800万円未満","","***","-","-","-","3,696","-","-","-","-","-"
"00200","回答数","2010000000","2010年","160","800～1,000万円未満","","***","-","-","-","-","2,096","-","-","-","-"
